Region,Year,Actual,SARIMAX_Forecast,AE,APE
Region IV-A - CALABARZON,2023,1027266.62,1017747.9256396862,9518.69436031382,0.9266040748324735
Region IV-A - CALABARZON,2024,1024796.848,1014531.476916636,10265.371083364007,1.0016981515310055
Region IV-B - MIMAROPA,2021,1760029.694,1747260.2642741294,12769.42972587049,0.7255235391426579
Region IV-B - MIMAROPA,2022,1725977.012,1736110.603706332,10133.59170633182,0.5871220552694023
Region IV-B - MIMAROPA,2023,1718625.776,1724973.7044016146,6347.928401614539,0.36936071192816433
Region IV-B - MIMAROPA,2024,1704339.631,1713846.6064773218,9506.975477321772,0.5578099167795372
V - Bicol Region,2021,1081192.24,1076517.035405053,4675.204594946932,0.4324119635696731
V - Bicol Region,2022,1080345.705,1074642.095813712,5703.609186287969,0.5279429686155849
V - Bicol Region,2023,1079390.463,1072766.9324347307,6623.530565269291,0.6136361949002408
V - Bicol Region,2024,1078271.957,1070891.6644568308,7380.292543169111,0.6844555768382198
VI - Western Visayas,2021,734946.0117,734201.521606659,744.4900933409808,0.10129860989637925
VI - Western Visayas,2022,733405.1572,732662.0591893969,743.0980106031056,0.10132162329483897
VI - Western Visayas,2023,732678.0426,731122.5815074039,1555.4610925961751,0.21229803572063197
VI - Western Visayas,2024,731465.0969,729583.1017986162,1881.9951013837708,0.2572911693749705
VII - Central Visayas,2021,603186.3226,600734.0939276057,2452.228672394296,0.40654580193796597
VII - Central Visayas,2022,599428.2925,599597.8106636181,169.518163618166,0.02827997372482481
VII - Central Visayas,2023,599065.7002,598461.6481699278,604.0520300721982,0.10083235108779114
VII - Central Visayas,2024,598348.6829,597325.570080268,1023.1128197320504,0.17098939948749578
VIII - Eastern Visayas,2021,1638847.777,1631284.2999080382,7563.477091961773,0.46151187426370555
VIII - Eastern Visayas,2022,1632022.432,1625491.0177415255,6531.414258474484,0.4002037061751908
VIII - Eastern Visayas,2023,1630201.565,1619686.480437223,10515.084562776843,0.6450174498990155
VIII - Eastern Visayas,2024,1627082.846,1613891.0242474126,13191.821752587333,0.8107652161054947
IX - Zamboanga Peninsula,2021,847469.0879,837084.6451367061,10384.442763293977,1.2253476748073817
IX - Zamboanga Peninsula,2022,841639.9587,832919.1665798099,8720.792120190104,1.0361665971349876
IX - Zamboanga Peninsula,2023,838373.0495,828760.6743390119,9612.375160988071,1.1465510689687397
IX - Zamboanga Peninsula,2024,834926.0027,824606.8553534241,10319.14734657586,1.235935557547088
X - Northern Mindanao,2021,1030947.776,1028068.1954236926,2879.580576307373,0.27931391321099985
X - Northern Mindanao,2022,1029354.318,1026139.2860492041,3215.0319507959066,0.3123348194664985
X - Northern Mindanao,2023,1027674.273,1024212.099683808,3462.1733161919983,0.3368940341461674
X - Northern Mindanao,2024,1025082.963,1022286.147688991,2796.815311008948,0.27283794697200014
XI - Davao Region,2021,993529.7387,989848.9433598771,3680.795340122888,0.370476614513732
XI - Davao Region,2022,989415.2182,986428.4482012885,2986.769998711534,0.3018722517878019
XI - Davao Region,2023,984960.2552,983016.2245206917,1944.0306793083437,0.19737148469139
XI - Davao Region,2024,979834.4598,979609.7396584554,224.72014154458884,0.022934500751326695
XII - SOCCSKSARGEN,2021,643507.4277,639988.754937826,3518.672762174043,0.5467959825654772
XII - SOCCSKSARGEN,2022,641551.145,637530.1789802229,4020.9660197771154,0.6267568924340576
XII - SOCCSKSARGEN,2023,639665.2166,635073.4990009979,4591.717599002179,0.717831371761692
XII - SOCCSKSARGEN,2024,636949.9036,632618.2190762269,4331.68452377303,0.6800667523914562
XIII - Caraga Region,2021,1436769.05,1429566.3404844683,7202.70951553178,0.501312964357896
XIII - Caraga Region,2022,1425724.868,1420487.6435261592,5237.22447384079,0.3673376674131765
XIII - Caraga Region,2023,1420289.368,1411419.84376227,8869.524237730075,0.6244871247765388
XIII - Caraga Region,2024,1412176.71,1402360.094824715,9816.615175284911,0.6951407076586691
BARMM,2021,789649.4873,790965.430572227,1315.9432722269557,0.16664903775553375
BARMM,2022,787576.1294,789137.4417520734,1561.3123520733789,0.19824272140686072
BARMM,2023,785144.6562,787309.6197345839,2164.9635345839197,0.27574072083252366
BARMM,2024,781763.312,785481.8697048194,3718.5577048193663,0.4756628569977413
